locus_tag,gene, protein_length, gene_length
BSU30620,ytlD,270,813
BSU12580,xtmB,433,1302
BSU05300,ydeQ,197,594
BSU17930,ccdA,235,708
BSU28180,ysxD,165,498
BSU08470,yfhB,293,882
BSU12780,xepA,279,840
BSU18040,yneP,121,366
BSU20320,yorN,49,150
BSU34399,BSU34399, , 
BSU21610,yokF,296,891
new10943661094987c,S359, ,622
BSU02260,ybfK,296,891
BSU09760,yheE,72,219
new31234423124021c,S1163, ,580
new467042467129,S138, ,88
BSU02050,ybdO,394,1185
new696054696194,S228, ,141
new929322929389,S292, ,68
BSU00480,yabJ,125,378
BSU34729,yvzJ,69,210
new12559431256078,S427, ,136
new10184971020028c,S327, ,1532
BSU04340,ydaP,574,1725
BSU08210,yfiB,573,1722
BSU18190,yngC,198,597
BSU05880,gmuG,362,1089
new14475781447661c,S500, ,84
BSU05470,mneP,297,894
BSU03620,bsdA,290,873
BSU04290,ydaL,569,1710
BSU38870,yxkA,168,507
BSU14920,ctaF,110,333
BSU09750,sspB,67,204
BSU32240,thrB,309,930
BSU35780,lytD,880,2643
BSU04220,ydaG,140,423
new20539852054612,S708, ,628
BSU23940,yqjB,176,531
BSU38330,ywbG,225,678
BSU03580,yczE,215,648
BSU31190,rhaM,104,315
new26000502600154,S950, ,105
new546051546165c,S173, ,115
BSU39530,yxeJ,75,228
BSU01120,fusA,692,2079
BSU01800,alkA,303,912
BSU28220,clpX,420,1263
BSU26060,yqbM,147,444
new22256162225829,S799, ,214
BSU29960,ytlP,183,552
BSU33790,sdpR,90,273
BSU02790,ycdB,472,1419
BSU08490,yfhD,63,192
BSU13900,ptsH,88,267
new29895522990726,S1105, ,1175
BSU27930,spo0B,192,579
BSU10530,ntdC,350,1053
new26647322666054,S975, ,1323
BSU11140,yitU,270,813
new36220483622137c,S1345, ,90
BSU06440,purB,431,1296
BSU36050,cotB,380,1143
new204891204975,S71, ,85
BSU02390,ybgE,356,1071
BSU11610,nadF,266,801
new23050362305183c,S824, ,148
new4998750086,S27, ,100
BSU36810,atpD,473,1422
BSU16160,clpY,467,1404
new16555861655958,S574, ,373
BSU23250,ribH,154,465
BSU26050,txpA,59,180
new32133293216149,S1191, ,2821
BSU34430,racX,227,684
new210947211412,S75, ,466
BSUmiscRNA68,swmG, , 
BSU16710,mlpA,409,1230
BSU15830,yloU,120,363
new579354579540,S186, ,187
BSU11620,yjbO,283,852
BSU28990,dnaB,472,1419
BSU06640,yerI,336,1011
new785976786536c,S249, ,561
BSU00880,disA,360,1083
BSU21650,yokB,236,711
new39890983989183,S1492, ,86
BSU26305,BSU26305, , 
BSU28720,abfA,500,1503
new663937664318,S219, ,382
BSU15400,ylmG,90,273
BSU24840,yqgS,638,1917
BSU37140,ywjG,173,522
BSU07380,yfmQ,148,447
BSU27550,aspS,592,1779
BSU39100,yxiO,428,1287
BSU15700,yloI,406,1221
BSU08580,yfhL,110,333
new37159283716008c,S1386, ,81
new27077602708174c,S987, ,415
BSU28040,radC,231,696
BSU07670,yflI,51,156
new31459973146088c,S1174, ,92
new30329103033040,S1131, ,131
BSU01260,rplN,122,369
BSU11280,yjaU,244,735
new20311152031202c,S694, ,88
BSU38850,yxkC,213,642
BSU30910,cotSA,377,1134
BSU19639,yoyE,41,126
BSU32920,yusT,295,888
BSU10700,gerPC,205,618
new33174093317473,S1247, ,65
BSU24220,spo0A,267,804
new29822702982476c,S1101, ,207
BSU11500,spx,131,396
BSU29480,ytxK,329,990
new40316464031766c,S1512, ,121
BSU20760,yopU,65,198
BSU21830,ypjQ,177,534
BSU06010,ydiL,244,735
BSU16300,fliL,140,423
BSUtRNA54,trnB-Lys, ,76
new21854222185503c,S772, ,82
BSU37710,bacD,472,1419
BSU07880,yfkJ,156,471
BSUmiscRNA33,srdEi, , 
BSU14770,ylaG,612,1839
new235403235489c,S83, ,87
new549923550239c,S175, ,317
BSU31930,ald,378,1137
new11474931148466c,S379, ,974
BSU30160,ytcQ,498,1497
BSU38450,dtrR,171,516
new39982373998480c,S1498, ,244
BSU38080,ywcI,100,303
BSU19745,BSU19745, , 
new14016971401771,S478, ,75
BSUtRNA74,trnSL-Gln2, ,75
BSU10260,yhfK,214,645
new23078142307904,S828, ,91
BSUmiscRNA83,tboY, , 
BSU16920,pgsA,193,582
BSU12030,yjdF,160,483
BSU06980,rhiF,309,930
new15507941551384,S540, ,591
BSU03330,nasA,401,1206
new24568092456888c,S893, ,80
BSU02380,ybgB,91,276
BSU07330,yfnB,235,708
new24329162433315c,S884, ,400
BSU09660,yheN,282,849
BSU14650,yktB,212,639
BSU04980,yddI,168,507
BSU06770,yeeB,599,1800
BSU25490,hrcA,343,1032
BSU04660,ndoA,116,351
BSU16320,fliY,378,1137
BSU32450,pucL,494,1485
BSU06150,gutB,353,1062
BSU26470,yrkL,174,525
BSU34990,lgt,269,810
BSU07810,treA,561,1686
BSU14960,ylbC,346,1041
BSU32330,lipA,298,897
BSU08090,acoL,458,1377
BSU16330,cheY,120,363
new39967313996828,S1497, ,98
BSU01380,map,248,747
BSU14600,pdhC,442,1329
BSU24120,mmgF,301,906
BSU12270,yjlB,165,498
BSU27500,trmU,371,1116
BSU14430,ykpA,540,1623
BSU10550,ntdA,441,1326
BSU09600,fluC,118,357
BSU36190,ywqJ,602,1809
new17441821744236,S597, ,55
BSU04990,yddJ,126,381
new12891391289257,S446, ,119
BSU38540,dltE,252,759
BSU13070,bstF,175,528
BSU12619,ykzL,127,384
BSU23510,xerD,296,891
new257545257726,S90, ,182
BSU11430,oppA,545,1638
BSU23650,yqkC,79,240
BSU05940,tsaD,346,1041
new38231593823531c,S1447, ,373
BSU24450,efp,185,558
BSU38620,aag,196,591
BSU19630,deoD,233,702
BSU14700,nprE,521,1566
BSU26960,yraF,122,369
BSU20810,yopP,358,1077
BSU25470,dnaK,611,1836
BSU40010,yxaD,143,432
BSU06350,yebA,737,2214
BSU28330,ysnE,151,456
BSU20100,yosJ,64,195
new33461173347050c,S1254, ,934
new19218661922524c,S661, ,659
BSU28540,fadB,258,777
new40533734053453c,S1519, ,81
BSU04070,ycsI,257,774
BSU38860,galE,339,1020
BSU27250,mccB,379,1137
BSU29840,ytpP,107,324
BSU20570,yoqN,72,219
BSU04190,ydaD,286,861
BSU32440,pucK,430,1293
BSU15380,ylmE,230,693
BSU25770,spoIVCA,500,1503
BSU30440,ytrC,328,987
BSU12650,xkdK,466,1401
BSU00290,darA,109,330
BSU23402,spoVAEB,116,351
BSU22869,ypzI,45,138
new19439831944112c,S676, ,130
BSU06074,ydzW/2,42,129
BSU16299,swrD,71,216
BSU09420,lytE,334,1005
BSU07080,yesZ,663,1992
BSU06280,ydjP,271,816
new32619383262008c,S1219, ,71
BSU18899,yozX,74,225
new23407622341218c,S845, ,457
new23774952377626c,S857, ,132
BSU11360,appD,328,987
BSUtRNA2,trnY-Asp, ,77
BSU18400,yoeD,76,231
BSU05680,ydgK,402,1209
BSU36550,spoIIQ,283,852
new28666052866663c,S1060, ,59
BSU08310,lnrL,311,936
new25743242574407c,S934, ,84
new38472793847347,S1451, ,69
BSU36780,ywzB,76,231
BSU13550,mtnA,353,1062
new22125212213082c,S788, ,562
BSUmiscRNA84,bsrI, , 
BSU14820,ylaL,161,486
BSU11040,yitM,194,585
new27785742778790c,S1024, ,217
BSU11520,mecA,218,657
BSU19280,yocN,77,234
new36665083667599,S1363, ,1092
BSU28140,hemD,262,789
BSUtRNA17,trnJ-Leu2, ,86
BSU11320,yjzB,79,240
new25188772519029c,S914, ,153
BSU04960,conG,815,2448
BSU35800,gerBA,483,1452
BSU25260,glyS,679,2040
BSU13610,mtnB,209,630
BSU14569,ykzV,52,159
BSU24460,papA,353,1062
new15694271569518,S549, ,92
new37904983790582c,S1428, ,85
BSU34460,levB,516,1551
BSU40690,yybC,159,480
BSU22520,ypjB,264,795
new95299614,S7, ,86
BSU25289,yqzL,47,144
BSU25875,BSU25875, , 
BSU07320,yfnC,409,1230
BSUrRNA12,rrnE-23S, ,2928
BSU22480,mgsA,137,414
BSU00300,yaaR,146,441
BSU26600,bltD,152,459
BSU21040,yonO,839,2520
new39061043907171,S1466, ,1068
BSU04840,devI,86,261
BSU22900,ypfB,58,177
BSU09340,yhdA,174,525
new27309212731106c,S1002, ,186
BSUmiscRNA28,BSUmiscRNA28, ,115
BSU16480,swrB,167,504
BSU13280,ykoJ,170,513
BSU02560,ycbM,311,936
BSU02520,ycbJ,306,921
BSU13830,ykvU,445,1338
BSU08460,yfhA,343,1032
BSU16020,rimM,174,525
new30282073028296,S1124, ,90
BSU38490,menA,311,936
BSU36140,ywqO,73,222
BSU17678,ynzJ,41,126
BSU32130,guaC,326,981
BSU29360,tcyL,239,720
new39050663905130c,S1465, ,65
BSU05870,gmuF,315,948
BSU27010,adhA,349,1050
new14148271414907c,S482, ,81
BSU04360,mntH,425,1278
BSU02460,ycbC,308,927
BSU02530,rtpA,53,162
new12281351228924,S410, ,790
BSU36000,alsD,255,768
BSU38780,yxkI,562,1689
new4552445632,S24, ,109
BSU00450,sspF,61,186
new20439332044037,S702, ,105
new746000747189,S244, ,1190
BSU04536,fbpA,54,165
new24641202464226c,S898, ,107
BSU23790,yqjP,319,960
BSU32120,yuzG,46,141
BSU26160,yqbC,217,654
new10563841056537,rosA, ,154
new26357402635814,S961, ,75
BSU39270,bglP,609,1830
BSU26850,yrpG,326,981
BSU12800,xhlB,87,264
BSU25200,sigA,371,1116
new22216392221791,S796, ,153
new23330562333210c,S839, ,155
BSU25570,comEC,776,2331
BSU27230,forE2,160,483
new29250272925099c,S1080, ,73
new24835142483788c,S905, ,275
BSU38200,galK,390,1173
new946423946695,S304, ,273
BSU07390,yfmP,140,423
BSU19150,yocB,260,783
new15690011569224c,S546, ,224
new40866464086801,S1529, ,156
new26098942610040c,S957, ,147
new27870662787129c,S1033, ,64
BSU05110,ydeA,197,594
BSU28390,racE,272,819
new16735151673619,S579, ,105
new339879339987,S112, ,109
BSU02490,ycbF,455,1368
new18631941863382,S619, ,189
BSU25510,lepA,612,1839
new30606743060844,S1147, ,171
BSU00510,prs,317,954
BSU18560,yoaD,344,1035
BSUrRNA14,rrnI-23S, ,2926
BSU16630,infB,716,2151
new28974692897599c,S1073, ,131
BSU06240,bdhA,346,1041
BSU35310,hpf,189,570
new18797811880041,S625, ,261
new33611123361196c,S1259, ,85
BSU27540,yrvM,254,765
BSU27990,minD,268,807
new12196861219848,S406, ,163
BSU02780,ycdA,354,1065
new32310693231811c,S1205, ,743
new24105902410694c,S875, ,105
BSU12610,xkdG,311,936
new22886522289883,S818, ,1232
BSU16980,spoVS,86,261
BSU25420,yqeW,307,924
BSU28780,araD,229,690
new40655694065980c,S1521, ,412
BSU33880,yvbJ,605,1818
BSU28680,glcD,470,1413
BSU37930,ywdK,123,372
BSU05260,ydeN,190,573
BSU09270,glpP,192,579
BSU08300,lnrK,220,663
BSU21690,msrA,177,534
BSU09670,dat,282,849
BSU19830,yotM,195,588
new39992733999349,S1499, ,77
BSU11470,oppF,305,918
BSU40880,exoA,252,759
new34579423458026,S1288, ,85
BSU37890,spsC,389,1170
BSU27610,apt,170,513
new519083519559c,S163, ,477
BSU11580,yjbK,190,573
BSU11030,yitL,298,897
BSU15170,spoVD,646,1941
BSU31770,yueI,132,399
BSU15350,ylmB,426,1281
BSU23470,spoIIAA,117,354
BSU39210,yxiF,156,471
BSU14690,yktD,304,915
new887222887809,S283, ,588
BSU19700,yodP,275,828
BSU19100,yobV,313,942
BSU06050,ydiN, , 
BSU38260,efeB,416,1251
BSU25230,yqxD,164,495
BSU14230,ahpT,148,447
BSU32859,yuzM,81,246
new20575882058714c,S712, ,1127
new14137901414949,S481, ,1160
BSU35160,uvrA,957,2874
new37605583760693,S1407, ,136
new22035972203983c,S782, ,387
BSU09770,yheD,453,1362
BSUtRNA19,trnJ-Pro, ,77
BSU39440,yxxB,275,828
new41544044154500c,S1552, ,97
BSU05790,ydhK,205,618
new41864494186607,S1572, ,159
new8805089566c,S41, ,1517
BSU08779,ygzC,90,273
BSU06820,yeeG,340,1023
BSU18370,yoeA,463,1392
BSUmiscRNA34,BSUmiscRNA34, ,101
BSU03420,nin,132,399
BSU20900,yopG,43,132
BSU03560,ycxD,444,1335
BSU26250,yqaN,142,429
BSU36770,spoIIT,246,741
BSU24650,yqzG,108,327
BSU02940,yceH,363,1092
new31192403119484c,S1162, ,245
BSU30940,glgP,798,2394
BSU34470,yveA,520,1563
BSU30000,ythQ,385,1158
new31786413178932c,S1181, ,292
BSU37210,ywjC,90,273
BSU12320,yjmC,337,1014
new22168152217132c,S793, ,318
new14820961482247,S511, ,152
new984466984593c,S315, ,128
BSU25120,yqfT,84,255
new14947371495461,S520, ,725
BSU19400,yojM,196,591
BSU40310,phrG,38,117
BSU25000,pbpA,716,2151
BSU04345,BSU04345, , 
BSU19370,odhA,944,2835
BSU20710,yopZ,67,204
new957688958613,S308, ,926
new34435303443612c,S1283, ,83
BSUtRNA8,trnA-Ile, ,77
BSU17380,nrdE,700,2103
new35741583574245c,S1324, ,88
BSU06180,pspA,227,684
BSU32550,frlP,367,1104
BSU05740,phoB,462,1389
BSU04090,pxpC,335,1008
new41061384106244c,S1536, ,107
BSU20190,yosA,39,120
BSU12749,xkzA,90,273
BSU05160,ydeD,319,960
BSU39940,yxaL,410,1233
BSU38280,efeU,481,1446
BSU29070,ytaF,210,633
BSU29420,ytkK,255,768
BSU29790,murC,432,1299
BSU25080,yqfX,129,390
new26471132647674c,S965, ,562
BSU08720,ygaF,157,474
new22632622263488,S806, ,227
BSU33670,yvaO,139,420
new14921691492260,S519, ,92
BSU30770,mntA,306,921
BSU03490,srfAB,3583,10752
BSU03880,yczG,104,315
BSU09730,yheG,206,621
new38426513843000c,S1449, ,350
BSU15600,cysC,197,594
BSU19850,yotK,61,186
BSU09965,yhaJ,172,519
BSU25130,nfo,297,894
BSU22740,hepT,348,1047
BSU15320,sigE,239,720
BSU31900,yukD,79,240
BSU23200,ypuI,179,540
new17671361767309,S607, ,174
new209557209632,S74, ,76
BSU40574,yyzJ,54,165
new33409383341024c,S1253, ,87
new706872706972,S232, ,101
BSUtRNA63,trnB-Ser1, ,93
BSU29300,ribR,230,693
BSU15720,defA,160,483
BSU29730,motP,272,819
BSU34850,yvcA,241,726
BSU29090,polA,880,2643
BSU01730,sigW,187,564
BSU11928,yjzF,43,132
BSU27170,fatR,194,585
BSU16730,spoVFA,297,894
BSU32070,yuiC,218,657
BSU24140,mmgD,372,1119
new21906632191625,S773, ,963
BSU09240,yhcW,220,663
BSU30610,ytlC,260,783
BSU13450,sigI,251,756
BSU21058,BSU21058, , 
new39135143913645c,S1469, ,132
BSU07460,yfmI,406,1221
BSU23280,ribD,361,1086
BSU28950,thrS,643,1932
BSU11136,BSU11136, , 
BSU33310,fhuB,384,1155
BSU09910,yhaO,408,1227
BSU02180,ybfE,94,285
BSU33990,yvbU,292,879
BSU37660,pta,323,972
new506502506670c,S153, ,169
BSU12230,yjjA,270,813
BSU01550,gerD,185,558
BSU14200,ykuS,81,246
BSU05450,ydfK,229,690
BSU28090,valS,880,2643
BSU20510,yoqU,137,414
BSUrRNA18,rrnD-5S, ,116
,rrcM, , 
BSU14530,rnjA,555,1668
BSU23670,yqkA,343,1032
BSU21720,ypmT,64,195
BSU28960,ytxC,281,846
BSU31420,yugF,273,822
new12298501229914,S413, ,65
new12649321265017c,S432, ,86
BSU11540,pepF,670,2013
new31538323153982c,S1177, ,151
BSU22210,mrfB,413,1242
BSUtRNA58,trnB-Arg, ,77
BSU08910,queG,386,1161
BSU16080,ylqH,93,282
new32248263225137c,S1200, ,312
BSU25520,yqxA,112,339
new29307832931047,S1082, ,265
new11590821159149,S388, ,68
BSU18470,proJ,371,1116
BSU37740,bacA,204,615
BSU33730,opuBA,381,1146
BSU17250,ymaE,274,825
new40947224095322c,S1533, ,601
BSU39790,yxcE,216,651
BSU03320,nasB,771,2316
new28545602854625c,S1058, ,66
BSU33780,sdpI,207,624
BSU05280,ydeO,290,873
new16951361695253,S585, ,118
BSU20880,yopI,177,534
new14843571484465,S515, ,109
BSU31890,yukC,451,1356
BSU21050,yonN,92,279
BSU16240,fliI,438,1317
BSU24920,yqgL,156,471
BSU19790,cgeB,317,954
BSU00520,ctc,204,615
BSU05040,yddN,339,1020
BSU16510,pyrH,240,723
BSU20260,yorT,39,120
BSU17200,pksM,4262,12789
BSU30120,yteR,370,1113
BSU14470,mreBH,335,1008
new15357521535847c,S535, ,96
new135170135363,S55, ,194
BSU21940,degR,60,183
BSU15030,spoVV,408,1227
BSU31720,degQ,46,141
BSU17340,hfq,73,222
new30495033049699c,S1142, ,197
new32764353276513c,S1226, ,79
BSU11330,fabHA,312,939
BSU34240,epsM,216,651
new33053223305430c,S1242, ,109
new10320541034008,S331, ,1955
new28875902887779c,S1069, ,190
new17826431782712,S614, ,70
BSU16120,topA,691,2076
new41942104195441c,S1573, ,1232
BSU32560,frlR,242,729
new37443223745406c,S1402, ,1085
BSU36910,ywlG,180,543
new39138983914008,S1470, ,111
BSU07290,yfnF,303,912
BSU26090,yqbJ,145,438
new26992442699382,S983, ,139
BSU23040,fer,82,249
BSU38840,yxkD,278,837
BSUrRNA30,rrnE-16S, ,1555
BSU15290,ftsZ,382,1149
BSU07710,ltaS,649,1950
BSU27630,yrvD,107,324
BSU25980,yqbT,348,1047
new37864583786619c,S1425, ,162
BSU40570,yybO,435,1308
BSU11010,yitJ,612,1839
BSU10270,lcfB,513,1542
BSU27370,mltG,360,1083
new29045372904679c,S1075, ,143
new840528841664c,S268, ,1137
BSU25360,yqfC,93,282
BSU06370,pbuG,440,1323
BSU24730,comGA,356,1071
new29087382908833c,S1076, ,96
new38737713874382,S1459, ,612
new22083732208745,S784, ,373
BSU11230,carA,353,1062
BSU27310,pbpI,584,1755
new335729336091c,S109, ,363
BSU16270,fliK,487,1464
new36049233604992,S1337, ,70
new19495131949584c,S678, ,72
BSUmiscRNA62,mswJ, , 
BSU39160,yxiI,162,489
BSU39390,hutM,475,1428
new10903311090400,S358, ,70
BSU40578,yyzK,48,147
BSU16660,truB,309,930
BSU03440,tlpC,573,1722
BSU03530,ycxA,409,1227
new29518982952204,S1088, ,307
BSU04790,ydcK,150,453
new25177572517885c,S913, ,129
BSU06036,ydzT/3,42,129
new35558073555901c,S1320, ,95
new367293368962,S121, ,1670
BSU23230,ypuF,174,525
BSU32000,dhbA,261,786
BSU31800,yueF,369,1110
BSU13590,mtnW,414,1245
BSU36500,ywoB,154,465
BSU32150,paiA,172,519
BSUrRNA21,rrnB-5S, ,118
BSU24960,pstBA,269,810
BSU38810,msmX,365,1098
BSUtRNA18,trnJ-Arg, ,77
BSU26935,BSU26935, , 
BSU08425,mprF,856,2571
BSU19490,gerT,157,474
BSU38640,yxlH,400,1203
BSU15910,fabG,246,741
new32637863264226c,S1221, ,441
BSU09500,yhdK,96,291
new30452213045329c,S1139, ,109
BSU16845,ymfF,426,1281
BSU29770,ytxH,152,456
BSU23030,ypbB,352,1059
BSU23850,zwf,489,1470
BSU19560,mhqD,200,603
BSU01010,nusG,177,534
new16406461640719,S571, ,74
BSU05510,ydfQ,112,339
BSU05820,gmuA,110,333
new40681714068967,S1523, ,797
BSU14460,ykpC,44,135
BSU23750,yqjT,128,387
BSU39630,yxdM,622,1869
BSU29980,ytjP,463,1392
BSU18690,yoaP,251,756
new495406495699c,S148, ,294
new28827912882902c,S1066, ,112
new23495902349664,S849, ,75
new671929671993,S221, ,65
new14393401439447,S494, ,108
BSUtRNA40,trnD-Gln, ,72
BSU06450,purC,241,726
new34205193421486,S1279, ,968
BSU22850,seaA,297,894
BSU24480,yqhR,178,537
BSU06038,ydzT/5,101,306
new600907601740c,S195, ,834
BSU12815,spoIISC,45,138
new39794083979516c,S1487, ,109
BSU01030,rplA,232,699
BSU18450,gltA,1520,4563
new27980902798150c,S1039, ,61
new28267432826818c,S1046, ,76
new37339683734142c,S1397, ,175
new42154374215505c,S1582, ,69
new27155332715718c,S996, ,186
BSU29220,ytsJ,410,1233
BSUtRNA6,trnO-Ala, ,76
BSU05220,ydeJ,219,660
BSU03350,yciB,194,585
BSU38230,ywcB,102,309
BSU12560,xpf,169,510
BSU14590,pdhB,325,978
BSU10900,yisY,268,807
BSU26400,yrkS,54,165
BSU38499,ywzH,49,150
BSU36230,ugd,440,1323
BSU32880,mdtP,541,1626
BSU06077,ydzW/4,47,144
BSU26399,BSU26399, , 
BSU32719,yuzK,45,138
BSU26610,yrkA,434,1305
BSU35470,comFA,463,1392
BSU39180,yxiH,109,330
BSU06079,ydzW/6,39,120
BSU27940,rpmA,94,285
new25761552576328,S935, ,174
new514779515106,S160, ,328
new17470321747122,S600, ,91
BSU34700,psdA,259,780
BSU30640,ytkC,134,405
new20785482079183c,S726, ,636
BSU36380,rapD,354,1065
BSU06319,ydzX,95,288
BSU04240,ydzA,96,291
BSU19820,sprB,58,177
BSU27430,glnQ,242,729
BSU33150,yvqK,193,582
new14421021442346c,S496, ,245
new36149783615063c,S1342, ,86
new935578935655,S297, ,78
new598659598728,S191, ,70
BSU18660,yoaM,227,684
BSU19920,yotD,43,132
BSU11900,yjcL,396,1191
BSU20070,yosM,129,390
new33075983308367,S1243, ,770
BSU21740,ypmR,255,768
BSU13300,mgtE,451,1356
BSU03820,fpbP,252,759
BSU39990,qdoR,191,576
BSU00670,tilS,472,1419
new29721642972328c,S1096, ,165
new30210903021169c,S1121, ,80
BSU03400,yckD,110,333
BSU11770,cotW,105,318
BSU00350,yazA,99,300
BSU32840,fadN,815,2448
new35282043528263c,S1312, ,60
new159149159778c,S62, ,630
BSU04800,int,368,1107
new19331621933476,S672, ,315
BSU21598,yoyK/1,79,240
BSU06790,yeeD,101,306
BSU07420,yfmM,518,1557
new12112861211370,S402, ,85
BSU30010,ythP,236,711
new30349353035530,S1133, ,596
BSU01900,ybcM,104,315
BSU11650,tenA,236,711
BSU38090,vpr,806,2421
BSU12260,yjlA,324,975
BSU05560,ydgA,80,243
BSU30100,yteT,428,1287
BSU29560,ytcI,529,1590
new261536261647c,S93, ,112
BSU09810,yhaZ,357,1074
BSU36430,usd,36,111
BSU18908,yozY,86,261
BSU17845,yzzP, , 
BSU29260,ytpI,100,303
BSU35330,fliS,133,402
BSU09510,yhdL,358,1077
new37081333708785,S1384, ,653
BSU38170,qoxA,321,966
BSU37450,ywhK,451,1356
new32580623259375,S1218, ,1314
BSU20340,yorL,1305,3918
BSU27530,rarA,421,1266
BSU22680,trpE,515,1548
new33611983361304c,S1260, ,107
BSUtRNA71,trnB-Ser2, ,91
new35903643590602,S1333, ,239
BSU36720,ywmE,53,162
BSU40040,yxaA,382,1149
new40051374005322c,tlrBL, ,186
new3510435236,S20, ,133
BSU13010,ykgB,349,1050
BSU24500,yqhP,131,396
BSU36820,atpG,287,864
BSU23140,resB,542,1629
BSU35640,lytA,102,309
new41349164134995c,S1548, ,80
new3535635458,S21, ,103
BSU25070,ispG,377,1134
BSU21110,yonF,589,1770
new500046500120,S150, ,75
BSU01240,rpmC,66,201
BSU36070,cotG,195,588
BSUrRNA24,rrnH-5S, ,118
BSU28050,maf,189,570
BSU23560,mleN,468,1407
BSUtRNA33,trnD-Met, ,77
BSU28300,ilvH,172,519
BSU33080,liaR,211,636
BSU10630,addA,1232,3699
BSU02600,cwlJ,142,429
BSU05050,lrpA,136,411
BSU06950,yesM,577,1734
new176316176924,S65, ,609
BSUtRNA16,trnJ-Gly, ,75
new486278486431,S142, ,154
BSU31270,tgl,245,738
new20539302054039c,S707, ,110
BSU37550,ywhA,139,420
new10352571035395,S332, ,139
BSU08110,sspH,59,180
BSU37820,spsK,283,852
BSU23020,recS,496,1491
BSU16530,uppS,260,783
BSU06670,gatC,96,291
BSU36575,BSU36575, , 
BSU06230,iolT,473,1422
BSU31289,BSU31289, , 
BSU18530,yoaA,177,534
BSU32250,thrC,352,1059
BSU20030,yosR,80,243
new20957862095916c,S735, ,131
BSU05960,ydiG,170,513
BSU06490,purF,476,1431
new36812773681369,S1375, ,93
BSU27035,BSU27035, , 
BSU02016,BSU02016, , 
new36727933672923,S1370, ,131
BSU35609,tuaA/1,49,150
new32170113217663,S1193, ,653
BSU08770,ygzA,67,204
BSU27640,yrvC,165,498
BSUmiscRNA7,c-di-AMPriboswitch, kimA, BSU_misc_RNA_7
new20285802028675c,S691, ,96
BSU22330,ypoC,164,495
new649828649902,S208, ,75
new463491463901,S136, ,411
BSU10290,yhfN,426,1281
BSU03130,nadE,272,819
BSU40770,tetB,458,1377
BSU27160,yrhJ,1054,3165
BSU32520,pucG,416,1251
BSU04860,ydcQ,480,1443
BSU06090,ydiR,313,942
BSU20210,yorY,60,183
new930737930817,S294, ,81
BSU22450,cca,397,1194
BSU29650,dgcP,579,1740
BSU29250,nrnA,313,942
new40828464082919c,S1525, ,74
BSU25410,rpsU,57,174
new31379693138320c,S1173, ,352
new33854473385618c,S1268, ,172
new27368492736914,S1006, ,66
new11510691151165c,S384, ,97
BSU22670,trpD,338,1017
BSU31230,tlpB,662,1989
BSU05190,ydeG,430,1293
BSU10470,yhjD,120,363
BSUrRNA22,rrnD-16S, ,1555
new21582882158723c,S766, ,436
BSU24100,bkdR,692,2079
BSU08390,bstA,178,537
new41402224140497c,S1550, ,276
BSU22220,mrfA,749,2250
BSU33740,yvaV,177,534
BSU37700,bacE,394,1185
BSU19610,yodI,83,252
BSU35700,tagH,527,1584
BSU15190,mraY,324,975
new1745317533,S10, ,81
new347670349525c,S117, ,1856
BSU32540,yurI,288,867
BSU33370,yvgK,308,927
BSU11940,yjcP,167,504
BSU20940,yopC,442,1329
BSU03990,mtlD,373,1122
BSU23910,yqjE,371,1116
BSU06120,ydjB,111,336
new35428063542942c,S1316, ,137
BSU06048,ydzU,90,273
BSU03500,comS,46,141
BSU22620,hisC,360,1083
new40187014018785c,S1508, ,85
BSU10640,sbcD,391,1176
BSU16230,fliH,208,627
BSUtRNA70,trnB-Asn, ,75
BSU16740,spoVFB,200,603
BSU09980,yhaI,113,342
BSU11300,med,317,954
BSU39870,yxbD,159,480
BSU35350,yvyC,109,330
new6400164098,S35, ,98
new15693201569425,S548, ,106
BSU35320,fliT,113,342
BSU40450,yycD,66,201
BSU33450,helD,774,2325
new32246693224824c,S1198, ,156
BSU00610,yabQ,211,636
BSU13770,ykvO,248,747
BSU02350,gamP,631,1896
BSU09530,yhdN,331,996
new12498891250015c,S420, ,127
BSU01935,skfC,496,1491
BSU21850,ypiP,257,774
BSU24205,BSU24205, , 
BSU23270,ribE,215,648
BSU03900,gabT,436,1308
BSU01780,glmS,600,1803
new22822852283135c,S814, ,851
BSU28709,BSU28709, , 
BSU31470,kapD,205,618
BSU28830,ysdB,130,393
BSU26619,yrzO,47,144
new29686412968771c,S1094, ,131
new40213074021428c,S1510, ,122
BSU28500,trxA,104,315
BSU03410,yckE,477,1434
BSU02450,glnL,314,945
BSU01740,rsiW,208,627
BSU23770,dsdA,448,1344
new18915651891743c,S633, ,179
BSU30290,melC,276,831
BSU00690,ftsH,637,1914
new621545621613c,S201, ,69
new30766303076728,S1152, ,99
BSU19840,yotL,80,243
new20743122074438,S723, ,127
BSU30135,yteP,321,966
BSU10100,hmoB,166,501
BSU33020,cssS,451,1356
new22880832288193,S817, ,111
new27131352713319c,S992, ,185
BSU34650,yvdC,106,321
BSU31140,yubC,161,486
BSU37050,maeA,582,1749
BSU37500,speE,276,831
new27341442734373c,S1003, ,230
BSU21240,yomS,118,357
BSU27510,yrvO,379,1140
BSUtRNA9,trnA-Ala, ,76
BSU04390,ydbA,272,819
BSU39410,nupC,393,1182
new10300691030171c,S330, ,103
BSU18490,rtp,122,369
BSU34800,cwlO,473,1422
BSU06839,phrH,57,174
